,Reviews
19927,"
Saw something like this at my local footlocker and wanted one. I don't play an ounce of golf.They're very quick to slip on, and the clicking it makes when you tighten the 'laces' definitely grabs people's attention. It can be slightly annoying in quiet places though. They are snug, but it somehow still felt a bit loose (when they actually weren't, maybe that's how gold shoes are idk). I would def recommend this to people.
"
19928,"
Shoes fit great (larger than posted size, you will need 1/2 size smaller), are 100% water proof, feel great, and the lace-less locking system works perfect. Played 5 rounds with them so far.
"
19929,"
What a nice way to tighten your shoes!  Works great.  Shoes are good-looking, comfortable, and easy to put on and tighten.
"
19930,"
Disc to tighten
"
19931,"
Very nice product that fits well and seems very durable. Played in the rain the first time I wore them and they're very waterproof.
"
19932,"
Great golf shoe. I like the boa disc system and walked 18 holes with no pain in my feet. My only gripe is that it runs a bit too large. I am a true size 10 and should have ordered a half size down like the other reviewers said. Otherwise, this is a good looking and very comfortable shoe!
"
19933,"
Love the dial closure - might be a 1/2 size bigger than expected but great looking and stable.
"
19934,"
So far, I wore them for 5 golf holes and practice at the range beforehand. They are comfortable but I did not want to chance walking 18 in a brand new pair. They are very stylish and love the color scheme. They are not as soft as a new pair of Skechers so that’s why I changed them after 5 holes. The stiffness they have will need a little breaking in.
"
19935,"
Have to wear a lift in my right shoe and this shoe is deep enough in the heel that I don’t feel myself walking out of it.Only issue and I still give it 5 stars, due to this rarity. I had read if water gets in the shoe, then your foot will stay wet all round.  Was in a deluge downpour yesterday and that is true.  In fact I felt I’d let the inside of the shoe dry out more today …even after using a shoe dryer and stuffing towels in overnight.  I don’t ever look to play in rain, and this rain was the most I’ve ever been caught in on a course…but zero issue walking on a dewy morning in terms of water getting in….That being said, I ordered another pair that is how much I love these shoes!!
"
19936,"
Buen diseño
"
19937,"
Saw something like this at my local footlocker and wanted one. I don't play an ounce of golf.They're very quick to slip on, and the clicking it makes when you tighten the 'laces' definitely grabs people's attention. It can be slightly annoying in quiet places though. They are snug, but it somehow still felt a bit loose (when they actually weren't, maybe that's how gold shoes are idk). I would def recommend this to people.
"
19938,"
The golf shoes were delivered promptly.  My 4th pair of these exact Puma shoes.  They fit perfectly, I love the disc to tighten versus a tie method and the comfort is unsurpassed in golf shoes!!!  After about 1.5 years, the back of the shoe inside starts to wear.  I just order another pair when this happens.
"
19939,"
These golf shoes are comfortable, easy to put on & (so far) waterproof!
"
19940,"
I bought these for my husband because he wanted some driving shoes. These come super close to driving shoes and he loves them. So comfortable that he wears them for more than just driving and now I have to order another pair.
"
19941,"
I love the look and fit of this golf shoe. And I love the new tie system that works with a twist of the hand.
"
19942,"
Great fit. Finding cleaning fabric is not so easy
"
19943,"
Most comfortable golf shoes I’ve ever owned!!
"
19944,"
The gold lettering on the back of the shoe is coming off, came out of the box like that.  Shoe seems comfortable so far after if wearing them around the house for a bit.
"
19945,"
I was not sure buying these without trying them on and I was wondering how they will fit or if I'm even have slightly wide feed.  I got the regular size 10's and went to practice in them and they were perfect.  They felt great, they felt solid when I was hitting the ball and love the fact that I don't have laces to bug me while playing.
"
19946,"
The shoes look great and held up great under a 300lb man.  Good product and the size was exact.
"
19947,"
Easy to keep clean and enough traction to handle my swing action without slipping and sliding.  I was concerned, at first, that the sole wouldn't be as gripping as soft spikes but average conditions are without issues.  Very similar to wearing regular gym shoes with that extra hold.
"
19948,"
Loved  price off product
"
19949,"
Loved the shoe and am disappointed that the loop broke rendering the dial system useless.
"
19950,"
Great golf shoe, even better as a working around shoe.  Price could be a little less, but would still buy again based on the quality and comfort of the shoe.
"
19951,"
I was looking for disc golf shoes to play disc golf. These say disc golf shoes… Now I have golf shoes for regular golf that fit too long, feel like skis, and do not work for disc golf. They are golf shoes with a disc lace tightener.
"
19952,"
I usually wear a 10 1/2 but I ordered a 10 so they would fit tighter for disc golf and I still feel like my heel slips thinking a 9 1/2 would have been better.
"
19953,"
I like the shoes. Great grip and comfortable.  A bit off on size. First time buying pumas and they run a little larger than I normally get.
"
19954,"
Probably the most comfortable golf shoes I’ve tried.
"
19955,"
Only played one round so far. It was wet conditions and feet stayed dry and comfortable. Would recommend.
"
19956,"
Easy to put on, comfortable, waterproof enough.....
"
19957,"
Comfy but no good in dew or wet grass
"
19958,"
Great walking shoes for playing golf.
"
19959,"
Great shoes for disc golf
"
19960,"
Love this shoe
"
19961,"
Great shoe. Comfortable and looks great. Disc fastener works well, but occasionally loosens by itself. Grip is not great on a court, but are likely great for golf. SHOES SQUEAK/QUACK WITH EVERY STEP WHEN WALKING ON HARD SURFACE.... even after several months!
"
19962,"
Very comfy and easy to wear, if only they could help me not do the suck at golf…
"
19963,"
This model ran a full size bigger than my normal size. Thankfully the exchange prices was easy. The shoe itself is gorgeous and fits snuggly with the disc lace system and the smaller size.
"
19964,"
Runs a little bit narrow
"
19965,"
This is a nice looking shoe that you could wear anywhere casually not only on the golf course
"
19966,"
used it several times and fits perfect and is very comfortable
"
19967,"
These are very comfortable, wish they had cleats. Fits perfect.
"
19968,"
I like the fit, the disc for tightening the cables is... gimmicky but works all right, and the traction is decent across many surfaces, but the waterproofing is only appropriate for extremely short grass.  I play in the early morning so there tends to be a lot of dew on the ground, if the grass is even just a few inches tall, my feet are soaked, likely due to the mesh on top of shoe.  Once water gets in, the waterproofing helps make sure that it never gets out again.  I've tried contacting Puma but they make it really hard to get any customer service.  The shoes have a 1 year waterproof warranty, and I'd say my feet started getting soaked within a month of using them.
"
19969,"
This shoe is unwearable after 2 rounds of ankle abuse.  My previous pair, the way it was made, the side that goes under your ankle bone was cut lower, made for a great fit.  This pair that area is noticeably higher and cuts into the side of my ankle just below the ankle bone.  If you wear a no shoe sock they are unbearable to play with. Tightened, loosened, tried everything, no good.  only thing that helps a little is a full sock.  Still cuts into the ankle, but it gives a little padding.  Issue might be unique to me, but i doubt it.
"
